h_m_s,SMU.UN
2019-04-04 15:22:52,0.27434842246645763
2019-04-04 15:22:53,0.09144947415548588
2019-04-04 15:22:54,0.030483158051828625
2019-04-04 15:22:55,0.010161052683942875
2019-04-04 15:22:56,0.0033870175613142915
2019-04-04 15:22:57,0.0011290058537714305
2019-04-04 15:22:58,0.00037633528459047683
2019-04-04 15:22:59,0.00012544509486349227
2019-04-04 15:23:00,4.181503162116409e-05
2019-04-04 15:23:01,1.3938343873721362e-05
2019-04-04 15:23:02,4.646114624573788e-06
2019-04-04 15:23:03,1.5487048748579292e-06
2019-04-04 15:23:04,5.162349582859764e-07
2019-04-04 15:23:05,1.7207831942865882e-07
2019-04-04 15:23:06,5.735943980955294e-08
2019-04-04 15:23:07,1.911981326985098e-08
2019-04-04 15:23:08,6.373271089950327e-09
2019-04-04 15:23:09,2.124423696650109e-09
2019-04-04 15:23:10,7.08141232216703e-10
2019-04-04 15:23:11,2.3604707740556765e-10
2019-04-04 15:23:12,7.868235913518922e-11
2019-04-04 15:23:13,2.6227453045063074e-11
2019-04-04 15:23:14,8.742484348354358e-12
2019-04-04 15:23:15,2.9141614494514526e-12
2019-04-04 15:23:16,9.713871498171508e-13
2019-04-04 15:23:17,3.237957166057169e-13
2019-04-04 15:23:18,1.0793190553523897e-13
2019-04-04 15:23:19,3.597730184507966e-14
2019-04-04 15:23:20,1.1992433948359887e-14
2019-04-04 15:23:21,3.997477982786629e-15
2019-04-04 15:23:22,1.3324926609288764e-15
2019-04-04 15:23:23,4.441642203096255e-16
2019-04-04 15:23:24,1.480547401032085e-16
2019-04-04 15:23:25,4.935158003440283e-17
2019-04-04 15:23:26,1.6450526678134278e-17
2019-04-04 15:23:27,5.483508892711426e-18
2019-04-04 15:23:28,1.8278362975704754e-18
2019-04-04 15:23:29,6.092787658568251e-19
2019-04-04 15:23:30,2.0309292195227504e-19
2019-04-04 15:23:31,6.769764065075834e-20
2019-04-04 15:23:32,2.2565880216919448e-20
2019-04-04 15:23:33,7.521960072306482e-21
2019-04-04 15:23:34,2.5073200241021607e-21
2019-04-04 15:23:35,8.357733413673869e-22
2019-04-04 15:23:36,2.7859111378912895e-22
2019-04-04 15:23:37,9.286370459637631e-23
2019-04-04 15:23:38,3.0954568198792104e-23
2019-04-04 15:23:39,1.0318189399597369e-23
2019-04-04 15:23:40,3.439396466532456e-24
2019-04-04 15:23:41,1.146465488844152e-24
2019-04-04 15:23:42,3.821551629480507e-25
2019-04-04 15:23:43,1.273850543160169e-25
2019-04-04 15:23:44,4.246168477200563e-26
2019-04-04 15:23:45,1.4153894924001877e-26
2019-04-04 15:23:46,4.717964974667293e-27
2019-04-04 15:23:47,1.5726549915557643e-27
2019-04-04 15:23:48,5.242183305185881e-28
2019-04-04 15:23:49,1.7473944350619602e-28
2019-04-04 15:23:50,5.824648116873201e-29
2019-04-04 15:23:51,1.941549372291067e-29
2019-04-04 15:23:52,6.471831240970223e-30
2019-04-04 15:23:53,2.1572770803234078e-30
2019-04-04 15:23:54,7.190923601078026e-31
2019-04-04 15:23:55,2.3969745336926754e-31
2019-04-04 15:23:56,7.989915112308917e-32
2019-04-04 15:23:57,2.6633050374363057e-32
2019-04-04 15:23:58,8.877683458121019e-33
2019-04-04 15:23:59,2.959227819373673e-33
2019-04-04 15:24:00,9.864092731245576e-34
2019-04-04 15:24:01,3.288030910415192e-34
2019-04-04 15:24:02,1.0960103034717306e-34
2019-04-04 15:24:03,3.653367678239102e-35
2019-04-04 15:24:04,1.2177892260797007e-35
2019-04-04 15:24:05,4.059297420265669e-36
2019-04-04 15:24:06,1.3530991400885564e-36
2019-04-04 15:24:07,4.510330466961855e-37
2019-04-04 15:24:08,1.5034434889872849e-37
2019-04-04 15:24:09,5.011478296624283e-38
2019-04-04 15:24:10,1.6704927655414278e-38
2019-04-04 15:24:11,5.568309218471426e-39
2019-04-04 15:24:12,1.8561030728238087e-39
2019-04-04 15:24:13,6.187010242746029e-40
2019-04-04 15:24:14,2.0623367475820097e-40
2019-04-04 15:24:15,6.874455825273366e-41
2019-04-04 15:24:16,2.291485275091122e-41
2019-04-04 15:24:17,7.63828425030374e-42
2019-04-04 15:24:18,2.546094750101247e-42
2019-04-04 15:24:19,8.48698250033749e-43
2019-04-04 15:24:20,2.8289941667791632e-43
2019-04-04 15:24:21,9.429980555930544e-44
2019-04-04 15:24:22,3.143326851976848e-44
2019-04-04 15:24:23,1.047775617325616e-44
2019-04-04 15:24:24,3.492585391085387e-45
2019-04-04 15:24:25,1.1641951303617956e-45
2019-04-04 15:24:26,3.880650434539319e-46
2019-04-04 15:24:27,1.2935501448464396e-46
2019-04-04 15:24:28,4.311833816154799e-47
2019-04-04 15:24:29,1.4372779387182664e-47
2019-04-04 15:24:30,4.7909264623942214e-48
2019-04-04 15:24:31,1.5969754874647405e-48
2019-04-04 15:24:32,5.323251624882468e-49
2019-04-04 15:24:33,1.774417208294156e-49
2019-04-04 15:24:34,5.914724027647187e-50
2019-04-04 15:24:35,1.9715746758823959e-50
2019-04-04 15:24:36,6.571915586274653e-51
2019-04-04 15:24:37,2.1906385287582175e-51
2019-04-04 15:24:38,7.302128429194058e-52
2019-04-04 15:24:39,2.4340428097313527e-52
2019-04-04 15:24:40,8.113476032437842e-53
2019-04-04 15:24:41,2.704492010812614e-53
2019-04-04 15:24:42,9.014973369375379e-54
2019-04-04 15:24:43,3.0049911231251266e-54
2019-04-04 15:24:44,1.0016637077083755e-54
2019-04-04 15:24:45,3.338879025694585e-55
2019-04-04 15:24:46,1.1129596752315284e-55
2019-04-04 15:24:47,3.7098655841050947e-56
2019-04-04 15:24:48,1.2366218613683649e-56
2019-04-04 15:24:49,4.122072871227883e-57
2019-04-04 15:24:50,1.3740242904092943e-57
2019-04-04 15:24:51,4.580080968030981e-58
2019-04-04 15:24:52,1.526693656010327e-58
2019-04-04 15:24:53,5.088978853367757e-59
2019-04-04 15:24:54,1.6963262844559189e-59
2019-04-04 15:24:55,5.654420948186396e-60
2019-04-04 15:24:56,1.8848069827287988e-60
2019-04-04 15:24:57,6.28268994242933e-61
2019-04-04 15:24:58,2.0942299808097766e-61
2019-04-04 15:24:59,6.9807666026992555e-62
2019-04-04 15:25:00,2.3269222008997517e-62
2019-04-04 15:25:01,7.756407336332506e-63
2019-04-04 15:25:02,2.585469112110835e-63
2019-04-04 15:25:03,8.618230373702784e-64
2019-04-04 15:25:04,2.8727434579009283e-64
2019-04-04 15:25:05,9.575811526336427e-65
2019-04-04 15:25:06,3.1919371754454755e-65
2019-04-04 15:25:07,1.063979058481825e-65
2019-04-04 15:25:08,3.5465968616060837e-66
2019-04-04 15:25:09,1.1821989538686946e-66
2019-04-04 15:25:10,3.9406631795623154e-67
2019-04-04 15:25:11,1.3135543931874385e-67
2019-04-04 15:25:12,4.378514643958129e-68
2019-04-04 15:25:13,1.4595048813193762e-68
2019-04-04 15:25:14,4.865016271064588e-69
2019-04-04 15:25:15,1.6216720903548627e-69
2019-04-04 15:25:16,5.405573634516209e-70
2019-04-04 15:25:17,66.66666666666667
2019-04-04 15:25:18,22.222222222222225
2019-04-04 15:25:19,7.407407407407408
2019-04-04 15:25:20,2.469135802469136
2019-04-04 15:25:21,0.8230452674897121
2019-04-04 15:25:22,0.2743484224965707
2019-04-04 15:25:23,0.09144947416552357
2019-04-04 15:25:24,0.030483158055174524
2019-04-04 15:25:25,0.010161052685058175
2019-04-04 15:25:26,0.0033870175616860583
2019-04-04 15:25:27,0.0011290058538953528
2019-04-04 15:25:28,0.0003763352846317843
2019-04-04 15:25:29,0.00012544509487726142
2019-04-04 15:25:30,4.1815031625753806e-05
2019-04-04 15:25:31,1.3938343875251268e-05
2019-04-04 15:25:32,4.646114625083756e-06
2019-04-04 15:25:33,1.5487048750279185e-06
2019-04-04 15:25:34,5.162349583426395e-07
2019-04-04 15:25:35,1.7207831944754651e-07
2019-04-04 15:25:36,5.7359439815848836e-08
2019-04-04 15:25:37,1.911981327194961e-08
2019-04-04 15:25:38,6.37327109064987e-09
2019-04-04 15:25:39,2.12442369688329e-09
2019-04-04 15:25:40,7.081412322944301e-10
2019-04-04 15:25:41,2.360470774314767e-10
2019-04-04 15:25:42,133.333333333412
2019-04-04 15:25:43,44.44444444447067
2019-04-04 15:25:44,14.814814814823556
2019-04-04 15:25:45,4.9382716049411854
2019-04-04 15:25:46,1.6460905349803951
2019-04-04 15:25:47,0.548696844993465
2019-04-04 15:25:48,0.18289894833115503
2019-04-04 15:25:49,0.060966316110385006
2019-04-04 15:25:50,0.020322105370128334
2019-04-04 15:25:51,0.006774035123376112
2019-04-04 15:25:52,0.002258011707792037
2019-04-04 15:25:53,0.0007526705692640123
2019-04-04 15:25:54,0.0002508901897546708
2019-04-04 15:25:55,8.363006325155693e-05
2019-04-04 15:25:56,2.7876687750518975e-05
2019-04-04 15:25:57,9.292229250172992e-06
2019-04-04 15:25:58,3.097409750057664e-06
2019-04-04 15:25:59,1.032469916685888e-06
2019-04-04 15:26:00,3.4415663889529605e-07
2019-04-04 15:26:01,1.1471887963176535e-07
2019-04-04 15:26:02,3.823962654392179e-08
2019-04-04 15:26:03,1.2746542181307263e-08
2019-04-04 15:26:04,4.248847393769087e-09
2019-04-04 15:26:05,1.4162824645896958e-09
2019-04-04 15:26:06,4.72094154863232e-10
2019-04-04 15:26:07,1.57364718287744e-10
2019-04-04 15:26:08,-2933.3333333332807
2019-04-04 15:26:09,-977.7777777777602
2019-04-04 15:26:10,-325.92592592592007
2019-04-04 15:26:11,-108.64197530864003
2019-04-04 15:26:12,-36.21399176954667
2019-04-04 15:26:13,-12.071330589848891
2019-04-04 15:26:14,-4.023776863282964
2019-04-04 15:26:15,-1.3412589544276547
