h_m_s,ABX,ACB,AEM,BAM.A,BNS,CNQ,CNR,CRON,CVE,ECA,ENB,FOOD,G,HQU,HSD,LUG,MFC,PTG,PVG,RY,SHOP,SMU.UN,SU,TD,TECK.B,WPM,XIU,XSP
2019-04-04 11:49:29,,,57.19,,71.48,36.8,,24.5,,9.27,49.08,,,68.92,14.12,,23.46,,11.45,,260.23,,43.49,74.95,30.91,31.07,,32.09
2019-04-04 11:49:30,,,57.19,63.36,,36.8,,24.5,12.02,9.27,49.08,,15.3,68.92,14.12,5.25,23.46,,,,260.23,,43.49,74.95,30.91,,,32.09
2019-04-04 11:49:31,17.82,11.85,,,71.48,36.82,120.11,,12.02,,,,,68.92,,,23.46,,,103.68,260.24,,43.49,74.95,30.91,31.07,24.46,
2019-04-04 11:49:32,17.82,,,63.36,71.48,36.82,120.11,24.5,12.02,9.27,49.08,,15.3,68.92,14.12,,23.46,,11.45,103.68,260.56,,43.49,74.95,30.91,31.07,24.46,32.09
2019-04-04 11:49:33,,,57.19,63.36,,36.82,120.13,,12.02,9.27,49.08,,15.3,,14.12,5.25,23.46,,,103.68,,,43.49,74.95,30.91,31.07,24.46,
2019-04-04 11:49:34,,,,,,36.82,120.13,,12.02,9.27,49.08,,15.3,68.93,,,23.46,,11.45,103.69,,,43.49,,,,24.46,32.09
2019-04-04 11:49:35,17.82,11.85,57.21,63.37,,36.82,120.13,24.5,,9.27,,,15.3,68.93,,,,,,103.69,260.57,,43.49,,,31.07,,32.09
2019-04-04 11:49:36,17.82,11.85,57.21,63.36,71.48,36.81,,24.5,12.02,9.27,49.08,,15.3,68.93,14.12,,23.46,,11.45,103.69,260.27,,43.49,,,,24.46,32.1
2019-04-04 11:49:37,,11.85,57.21,63.37,,36.81,,24.5,,9.27,,,,68.93,,,,,,103.69,259.71,,,,,,24.46,32.1
2019-04-04 11:49:38,17.82,11.85,57.21,63.36,71.48,36.81,,24.49,,9.27,49.08,,,68.93,14.12,5.25,,,,103.69,,,43.49,74.95,30.91,,,32.09
2019-04-04 11:49:39,,11.85,,63.36,,36.81,,,,9.27,,,,68.93,14.12,,23.46,,,103.69,259.71,,43.49,,,31.07,24.46,
2019-04-04 11:49:40,,,57.21,63.36,71.48,36.81,,24.49,12.02,9.27,,,,68.92,14.12,,23.46,,,103.69,260.0,,43.49,74.95,30.91,,24.46,32.09
2019-04-04 11:49:41,17.82,,57.21,63.35,71.48,36.8,120.13,,12.02,9.27,49.07,,15.3,68.92,,,23.46,,,103.69,260.06,,43.48,,,,,
2019-04-04 11:49:42,17.82,11.85,57.21,63.35,71.48,36.8,120.11,,12.02,9.27,49.07,,15.3,68.92,14.12,,,,11.45,,260.06,,43.48,,,31.07,,
2019-04-04 11:49:43,,11.85,,63.35,71.48,36.8,,,12.02,9.27,49.07,,,68.92,14.12,,23.46,,,,260.06,,43.48,,30.91,,24.46,32.09
2019-04-04 11:49:44,,,57.21,,,,,,,9.27,49.07,,,68.92,14.12,,23.46,,,,,,43.48,,,,,
2019-04-04 11:49:45,17.82,11.85,,63.35,,36.8,120.11,24.48,12.02,9.27,49.08,,15.3,68.92,14.12,,23.46,,,103.69,260.06,,43.49,74.95,,,24.46,32.09
2019-04-04 11:49:46,,11.85,,63.35,,,,24.48,12.02,9.27,49.08,,,,,5.25,,,,103.68,260.06,,43.49,74.95,30.91,,,
2019-04-04 11:49:47,17.82,11.85,,63.35,71.48,36.8,120.11,,,,49.08,,,68.91,14.13,,23.46,,11.45,103.68,,,43.48,74.95,30.91,,24.46,32.09
2019-04-04 11:49:48,,,,,71.48,36.8,120.11,,,,,,,,,5.25,23.46,,,103.68,260.06,,43.48,74.95,,,24.46,
2019-04-04 11:49:49,17.82,11.85,57.22,63.35,71.48,36.8,,,12.02,,49.08,,15.3,68.91,,,23.46,,11.46,103.68,260.06,11.89,43.48,74.95,,31.07,,
2019-04-04 11:49:50,17.82,,57.22,,,36.8,120.09,24.48,12.02,9.27,49.08,,15.3,68.9,,,23.46,,,103.68,260.06,,43.48,,30.91,31.07,24.46,
2019-04-04 11:49:51,,,57.22,,71.48,,,24.47,12.02,9.27,49.08,,,68.9,,,23.46,,,103.68,260.06,,43.48,,,31.07,24.46,32.09
2019-04-04 11:49:52,,11.85,57.22,63.35,,,,,,9.27,,,15.3,,,,,,,,,11.89,43.48,74.95,,,,
2019-04-04 11:49:53,,11.85,,63.34,71.48,36.79,120.09,24.47,12.02,9.27,,,,,,5.25,,,11.46,,260.06,,43.48,74.95,,31.07,,
2019-04-04 11:49:54,17.82,11.85,57.22,63.34,71.48,36.79,120.09,24.47,12.02,9.27,49.06,,15.31,68.9,14.13,,23.46,,11.46,103.68,260.06,,43.48,74.95,30.91,31.08,24.46,32.09
2019-04-04 11:49:55,17.82,11.85,57.22,63.34,,36.78,120.09,,12.01,9.27,49.06,,15.31,68.89,14.13,,23.46,,,103.68,260.03,11.89,43.47,74.95,30.91,31.08,24.46,32.08
2019-04-04 11:49:56,17.82,,,,,36.77,120.09,24.47,12.01,9.27,,,15.31,68.89,14.13,,23.46,,,,260.03,11.89,43.47,,30.91,,24.46,32.08
2019-04-04 11:49:57,17.82,11.85,57.22,63.34,71.47,36.76,120.07,24.47,12.0,9.27,49.06,,15.31,68.88,14.13,,23.46,,,103.68,260.02,,43.47,74.94,30.91,31.08,24.46,32.08
2019-04-04 11:49:58,17.82,,57.22,63.34,71.47,36.76,120.07,24.47,12.0,,49.06,,15.31,68.89,14.13,,23.46,,,103.68,260.02,,43.47,74.94,,31.04,24.46,32.08
2019-04-04 11:49:59,17.82,,57.22,,,36.76,120.07,,12.0,,,,15.31,68.89,,,23.46,,,,,,43.47,,,31.04,24.46,
2019-04-04 11:50:00,17.82,11.85,57.22,63.35,71.47,36.77,120.07,24.48,12.01,9.27,49.06,,15.31,68.89,,5.25,23.46,,11.46,103.68,260.02,,43.47,74.94,30.91,31.05,24.46,32.08
2019-04-04 11:50:01,17.82,,57.22,,71.47,36.76,120.08,24.48,12.01,9.27,49.06,,15.31,68.88,14.13,,23.46,,,,260.02,,43.47,74.94,,31.06,24.46,32.08
2019-04-04 11:50:02,17.82,,57.22,63.35,71.47,36.76,120.07,24.48,12.01,9.27,49.06,,15.31,68.89,14.13,,23.46,,,103.68,260.02,,43.47,74.94,30.91,,24.46,
2019-04-04 11:50:03,17.82,,57.22,63.35,71.47,36.76,120.07,24.47,12.0,,49.06,,15.31,68.88,14.13,,23.46,,11.46,103.68,260.06,,43.47,,30.91,31.06,24.46,
2019-04-04 11:50:04,17.82,,57.22,63.35,71.47,36.75,120.07,,12.0,9.27,49.06,,15.31,68.88,14.13,,,,,103.68,260.06,,43.47,,30.91,31.06,24.46,32.08
2019-04-04 11:50:05,,,57.22,,71.47,36.76,,24.47,12.0,,49.06,,,68.87,14.13,,23.46,,,103.68,260.06,,43.47,,30.91,31.06,24.46,32.08
2019-04-04 11:50:06,,11.85,,63.35,,36.76,120.07,,12.0,9.27,49.06,,15.31,68.87,14.13,,23.46,,,,260.06,,43.47,74.94,30.91,,24.46,32.08
2019-04-04 11:50:07,17.82,,57.22,63.35,71.47,36.76,,24.46,12.0,9.27,49.06,,,,,5.25,23.46,,,103.68,260.06,,43.47,74.94,,31.06,24.46,
2019-04-04 11:50:08,17.83,,57.23,63.35,,36.77,120.08,24.46,12.01,9.27,49.06,,,,,,23.46,,,103.68,260.06,,43.47,74.94,30.92,31.07,24.46,32.08
